#TYPE Selected.System.Management.Automation.PSCustomObject
"P2","P3","P4","P5"
"Proto","Local","Address","Foreign"
"TCP","0.0.0.0:80","thig1:0","LISTENING"
"TCP","0.0.0.0:135","thig1:0","LISTENING"
"TCP","0.0.0.0:445","thig1:0","LISTENING"
"TCP","0.0.0.0:5040","thig1:0","LISTENING"
"TCP","0.0.0.0:5500","thig1:0","LISTENING"
"TCP","0.0.0.0:8082","thig1:0","LISTENING"
"TCP","0.0.0.0:17500","thig1:0","LISTENING"
"TCP","0.0.0.0:49664","thig1:0","LISTENING"
"TCP","0.0.0.0:49665","thig1:0","LISTENING"
"TCP","0.0.0.0:49666","thig1:0","LISTENING"
"TCP","0.0.0.0:49667","thig1:0","LISTENING"
"TCP","0.0.0.0:49668","thig1:0","LISTENING"
"TCP","0.0.0.0:49669","thig1:0","LISTENING"
"TCP","0.0.0.0:49675","thig1:0","LISTENING"
"TCP","0.0.0.0:65451","thig1:0","LISTENING"
"TCP","10.0.0.76:139","thig1:0","LISTENING"
"TCP","10.0.0.76:2032","thig1:0","LISTENING"
"TCP","10.0.0.76:51007","40.122.34.18:https","CLOSE_WAIT"
"TCP","10.0.0.76:53018","lb-192-30-253-124-iad:https","ESTABLISHED"
"TCP","10.0.0.76:53098","ec2-52-7-182-237:https","CLOSE_WAIT"
"TCP","10.0.0.76:53175","162.125.18.133:https","ESTABLISHED"
"TCP","10.0.0.76:53184","162.125.18.133:https","ESTABLISHED"
"TCP","10.0.0.76:53185","162.125.34.6:https","CLOSE_WAIT"
"TCP","10.0.0.76:53195","72.21.91.29:http","CLOSE_WAIT"
"TCP","10.0.0.76:53196","185.199.111.154:https","CLOSE_WAIT"
"TCP","10.0.0.76:53254","52.114.132.22:https","ESTABLISHED"
"TCP","10.0.0.76:53531","a-0001:https","TIME_WAIT"
"TCP","10.0.0.76:53532","a-0001:https","TIME_WAIT"
"TCP","10.0.0.76:53535","a-0001:https","TIME_WAIT"
"TCP","10.0.0.76:53557","20.190.131.97:https","TIME_WAIT"
"TCP","10.0.0.76:53575","152.199.4.33:https","TIME_WAIT"
"TCP","10.0.0.76:53577","52.239.161.42:https","TIME_WAIT"
"TCP","10.0.0.76:53579","52.239.161.42:https","TIME_WAIT"
"TCP","10.0.0.76:53580","52.239.161.42:https","TIME_WAIT"
"TCP","10.0.0.76:53581","52.239.161.42:https","TIME_WAIT"
"TCP","10.0.0.76:53582","52.239.161.42:https","TIME_WAIT"
"TCP","10.0.0.76:53584","52.239.161.42:https","TIME_WAIT"
"TCP","10.0.0.76:53600","152.199.4.33:https","TIME_WAIT"
"TCP","10.0.0.76:53607","20.36.253.92:https","TIME_WAIT"
"TCP","10.0.0.76:53608","20.36.253.92:https","TIME_WAIT"
"TCP","10.0.0.76:53611","65.55.44.109:https","TIME_WAIT"
"TCP","10.0.0.76:53615","13.107.21.200:https","TIME_WAIT"
"TCP","10.0.0.76:53616","13.107.21.200:https","TIME_WAIT"
"TCP","10.0.0.76:53643","iad23s41-in-f67:https","TIME_WAIT"
"TCP","10.0.0.76:53644","iad23s41-in-f67:https","TIME_WAIT"
